Date,Close/Last
7/31/2021,5.65
1/31/2021,5.66
7/31/2020,5.71
1/31/2020,5.67
7/31/2019,5.74
1/31/2019,5.58
7/31/2018,5.51
1/31/2018,5.28
7/31/2017,5.3
1/31/2017,5.06
7/31/2016,5.04
1/31/2016,4.93
7/31/2015,4.79
1/31/2015,4.79
7/31/2014,4.795
1/31/2014,4.6242
7/31/2013,4.5567
1/31/2013,4.3674
7/31/2012,4.3275
1/31/2012,4.1972
7/31/2011,4.065
7/31/2010,3.7333
1/31/2010,3.58
7/31/2009,3.57
6/30/2008,3.57
6/30/2007,3.41
1/31/2007,3.22
5/31/2006,3.1
1/31/2006,3.15
6/30/2005,3.06
5/31/2004,2.9
4/30/2003,2.71
4/30/2002,2.49
4/30/2001,2.54
4/30/2000,2.51
