Date,Open,High,Low,Close/Last,Adj. Close,Volume
1-Dec-21,"1,774.80","1,812.90","1,753.90","1,803.80","1,803.80","7,304"
31-Oct-21,"1,787.50","1,869.70","1,761.80","1,773.60","1,773.60","221,936"
30-Sep-21,"1,754.30","1,809.00","1,744.70","1,783.00","1,783.00","8,208"
31-Aug-21,"1,813.50","1,833.90","1,721.40","1,755.30","1,755.30","28,543"
30-Jun-21,"1,775.70","1,833.00","1,768.80","1,812.60","1,812.60","245,814"
31-May-21,"1,905.10","1,916.20","1,752.10","1,770.80","1,770.80","8,466"
30-Apr-21,"1,788.50","1,905.40","1,774.80","1,902.50","1,902.50","210,133"
31-Mar-21,"1,706.80","1,794.50","1,706.40","1,767.30","1,767.30","11,366"
1-Mar-21,"1,737.10","1,750.30","1,673.70","1,713.80","1,713.80","167,914"
1-Feb-21,"1,866.60","1,871.90","1,718.80","1,728.10","1,728.10","16,813"
1-Jan-21,"1,912.20","1,959.90","1,802.00","1,847.30","1,847.30","225,930"
1-Dec-20,"1,775.00","1,908.00","1,774.90","1,893.10","1,893.10","12,142"
30-Sep-20,"1,884.10","1,929.10","1,858.80","1,877.40","1,877.40","9,613"
31-Aug-20,"1,961.70","1,986.30","1,851.50","1,887.50","1,887.50","17,781"
31-Jul-20,"1,984.30","2,063.00","1,871.60","1,967.60","1,967.60","11,710"
30-Jun-20,"1,793.60","1,981.10","1,765.80","1,962.80","1,962.80","246,967"
31-May-20,"1,740.40","1,793.20","1,668.60","1,793.00","1,793.00","16,436"
30-Apr-20,"1,686.60","1,770.50","1,670.50","1,736.90","1,736.90","168,568"
31-Mar-20,"1,570.00","1,775.00","1,570.00","1,684.20","1,684.20","14,324"
1-Feb-20,"1,592.90","1,686.60","1,547.70","1,564.10","1,564.10","9,617"
1-Jan-20,"1,518.10","1,604.20","1,518.00","1,582.90","1,582.90","316,262"
31-Oct-19,"1,511.00","1,511.60","1,447.10","1,465.60","1,465.60","443,701"
30-Sep-19,"1,468.70","1,518.20","1,458.30","1,511.40","1,511.40","5,233"
31-Jul-19,"1,411.30","1,549.30","1,400.90","1,519.10","1,519.10","17,142"
30-Jun-19,"1,386.60","1,444.20","1,382.80","1,426.10","1,426.10","302,051"
31-May-19,"1,307.00","1,433.30","1,307.00","1,409.70","1,409.70","6,517"
30-Apr-19,"1,278.70","1,306.40","1,266.60","1,305.80","1,305.80","248,448"
31-Mar-19,"1,291.80","1,309.10","1,266.00","1,282.80","1,282.80","6,961"
1-Mar-19,"1,312.20","1,322.90","1,281.00","1,293.00","1,293.00","295,700"
1-Feb-19,"1,320.30","1,344.00","1,301.60","1,312.80","1,312.80","7,989"
1-Jan-19,"1,286.00","1,325.40","1,275.30","1,319.70","1,319.70","270,998"
1-Dec-18,"1,222.50","1,281.30","1,221.30","1,278.30","1,278.30","4,402"
31-Oct-18,"1,215.40","1,236.00","1,196.30","1,220.20","1,220.20","304,805"
30-Sep-18,"1,191.60","1,238.60","1,183.70","1,212.30","1,212.30","4,126"
31-Aug-18,"1,193.80","1,206.20","1,180.00","1,191.50","1,191.50","23,406"
31-Jul-18,"1,222.90","1,223.70","1,161.40","1,200.30","1,200.30","5,996"
31-May-18,"1,298.60","1,307.70","1,244.80","1,251.30","1,251.30","5,166"
30-Apr-18,"1,313.20","1,320.80","1,285.20","1,300.10","1,300.10","441,893"
1-Mar-18,"1,310.40","1,354.40","1,301.80","1,322.80","1,322.80","356,297"
1-Feb-18,"1,343.80","1,361.40","1,307.00","1,315.50","1,315.50","10,243"
1-Jan-18,"1,302.30","1,362.40","1,302.30","1,339.00","1,339.00","338,322"
1-Dec-17,"1,274.10","1,306.30","1,236.50","1,306.30","1,306.30","7,596"
31-Oct-17,"1,272.20","1,296.20","1,265.30","1,273.20","1,273.20","326,214"
31-Aug-17,"1,320.20","1,355.80","1,277.00","1,281.50","1,281.50","26,808"
31-Jul-17,"1,268.40","1,323.80","1,251.40","1,316.20","1,316.20","10,098"
30-Jun-17,"1,236.00","1,270.80","1,208.60","1,266.60","1,266.60","292,633"
31-May-17,"1,268.00","1,295.20","1,238.10","1,240.70","1,240.70","8,948"
30-Apr-17,"1,268.70","1,273.20","1,214.00","1,272.00","1,272.00","404,733"
31-Mar-17,"1,247.50","1,294.80","1,243.00","1,266.10","1,266.10","9,065"
1-Mar-17,"1,247.80","1,257.70","1,196.20","1,247.30","1,247.30","251,026"
1-Feb-17,"1,211.90","1,263.10","1,197.90","1,252.60","1,252.60","11,087"
1-Dec-16,"1,172.70","1,186.70","1,123.90","1,150.00","1,150.00","9,972"
31-Oct-16,"1,279.30","1,318.60","1,167.90","1,170.80","1,170.80","242,622"
30-Sep-16,"1,313.50","1,316.80","1,248.90","1,271.50","1,271.50","5,775"
31-Aug-16,"1,305.30","1,350.50","1,301.50","1,313.30","1,313.30","18,630"
31-Jul-16,"1,348.80","1,366.00","1,306.30","1,306.90","1,306.90","11,854"
30-Jun-16,"1,324.50","1,374.90","1,312.80","1,349.00","1,349.00","281,653"
31-May-16,"1,215.70","1,355.60","1,205.40","1,318.40","1,318.40","13,380"
31-Mar-16,"1,232.30","1,295.50","1,209.20","1,289.20","1,289.20","9,954"
1-Mar-16,"1,240.50","1,280.70","1,210.00","1,234.20","1,234.20","244,751"
1-Feb-16,"1,116.70","1,260.80","1,115.30","1,233.90","1,233.90","13,930"
1-Jan-16,"1,063.40","1,125.70","1,063.20","1,116.40","1,116.40","229,558"
1-Dec-15,"1,064.60","1,098.80","1,046.20","1,060.30","1,060.30","10,149"
30-Sep-15,"1,115.20","1,189.00","1,105.80","1,141.50","1,141.50","4,321"
31-Aug-15,"1,133.50","1,155.90","1,098.20","1,115.50","1,115.50","9,119"
31-Jul-15,"1,095.50","1,169.00","1,080.50","1,131.60","1,131.60","13,251"
30-Jun-15,"1,173.10","1,173.10","1,078.60","1,094.90","1,094.90","216,892"
31-May-15,"1,190.60","1,204.00","1,164.00","1,171.50","1,171.50","6,252"
30-Apr-15,"1,178.10","1,228.10","1,170.00","1,189.40","1,189.40","258,123"
31-Mar-15,"1,182.90","1,224.20","1,174.60","1,182.40","1,182.40","7,838"
1-Jan-15,"1,184.00","1,303.50","1,169.50","1,278.50","1,278.50","258,615"
1-Dec-14,"1,160.00","1,238.00","1,141.70","1,183.90","1,183.90","11,140"
31-Oct-14,"1,166.40","1,202.40","1,133.00","1,175.20","1,175.20","299,410"
30-Sep-14,"1,207.70","1,251.00","1,161.40","1,171.10","1,171.10","4,510"
31-Aug-14,"1,284.50","1,286.40","1,204.00","1,210.50","1,210.50","27,705"
31-Jul-14,"1,284.10","1,321.40","1,272.00","1,285.80","1,285.80","9,633"
30-Jun-14,"1,326.70","1,343.70","1,280.60","1,281.30","1,281.30","224,607"
30-Apr-14,"1,288.70","1,314.20","1,241.80","1,245.60","1,245.60","211,143"
31-Mar-14,"1,285.10","1,330.00","1,272.40","1,295.60","1,295.60","8,265"
1-Mar-14,"1,335.90","1,391.40","1,282.40","1,283.40","1,283.40","255,794"
1-Feb-14,"1,242.40","1,343.90","1,241.20","1,321.40","1,321.40","11,943"
1-Jan-14,"1,204.30","1,269.40","1,204.30","1,240.10","1,240.10","189,701"
31-Oct-13,"1,325.70","1,325.70","1,229.00","1,250.60","1,250.60","270,667"
30-Sep-13,"1,328.00","1,359.70","1,254.10","1,323.60","1,323.60","2,723"
31-Jul-13,"1,323.00","1,428.00","1,274.00","1,396.10","1,396.10","10,507"
30-Jun-13,"1,234.70","1,343.50","1,208.90","1,312.40","1,312.40","186,170"
31-May-13,"1,389.10","1,422.70","1,183.20","1,223.80","1,223.80","12,739"
