Date,Open,High,Low,Close/Last,Adj. Close,Volume
1-Dec-21,"15,752.27","15,816.82","14,931.06","15,169.68","15,169.68","68,360,580,000"
31-Oct-21,"15,541.26","16,212.23","15,451.39","15,537.69","15,537.69","108,529,440,000"
30-Sep-21,"14,494.93","15,504.12","14,181.69","15,498.39","15,498.39","98,654,030,000"
31-Aug-21,"15,308.98","15,403.44","14,444.30","14,448.58","14,448.58","94,713,820,000"
31-Jul-21,"14,758.60","15,288.08","14,423.16","15,259.24","15,259.24","87,630,170,000"
30-Jun-21,"14,493.69","14,863.65","14,178.66","14,672.68","14,672.68","88,145,720,000"
31-May-21,"13,829.06","14,535.97","13,548.93","14,503.95","14,503.95","107,636,930,000"
30-Apr-21,"14,031.77","14,042.12","13,002.54","13,748.74","13,748.74","88,957,750,000"
31-Mar-21,"13,414.32","14,211.57","13,404.18","13,962.68","13,962.68","91,050,570,000"
1-Mar-21,"13,406.16","13,620.71","12,397.05","13,246.87","13,246.87","133,298,300,000"
1-Feb-21,"13,226.18","14,175.12","13,003.98","13,192.35","13,192.35","140,197,980,000"
1-Jan-21,"12,958.52","13,728.98","12,543.24","13,070.69","13,070.69","138,076,160,000"
1-Dec-20,"12,313.36","12,973.33","12,214.74","12,888.28","12,888.28","111,707,090,000"
31-Oct-20,"11,010.45","12,244.65","10,830.95","12,198.74","12,198.74","90,598,610,000"
30-Sep-20,"11,291.99","11,965.54","10,822.57","10,911.59","10,911.59","77,827,120,000"
31-Aug-20,"11,850.96","12,074.06","10,519.49","11,167.51","11,167.51","82,059,450,000"
31-Jul-20,"10,848.64","11,829.84","10,762.71","11,775.46","11,775.46","78,408,230,000"
30-Jun-20,"10,063.67","10,839.93","10,048.04","10,745.27","10,745.27","94,321,170,000"
31-May-20,"9,471.42","10,221.85","9,403.00","10,058.77","10,058.77","111,455,270,000"
30-Apr-20,"8,681.29","9,523.64","8,537.83","9,489.87","9,489.87","80,634,290,000"
31-Mar-20,"7,459.50","8,957.27","7,288.11","8,889.55","8,889.55","78,697,140,000"
1-Mar-20,"8,667.14","9,070.32","6,631.42","7,700.10","7,700.10","96,874,040,000"
1-Feb-20,"9,190.72","9,838.37","8,264.16","8,567.37","8,567.37","53,633,950,000"
1-Jan-20,"9,039.46","9,451.43","8,943.50","9,150.94","9,150.94","52,456,350,000"
1-Dec-19,"8,672.84","9,052.00","8,435.40","8,972.60","8,972.60","45,940,880,000"
31-Oct-19,"8,335.05","8,705.91","8,326.56","8,665.47","8,665.47","41,581,990,000"
30-Sep-19,"8,026.83","8,335.56","7,700.00","8,292.36","8,292.36","43,976,360,000"
31-Aug-19,"7,906.44","8,243.80","7,847.32","7,999.34","7,999.34","41,462,650,000"
31-Jul-19,"8,190.56","8,311.04","7,662.90","7,962.88","7,962.88","46,090,570,000"
30-Jun-19,"8,145.85","8,339.64","8,059.29","8,175.42","8,175.42","39,238,360,000"
31-May-19,"7,441.21","8,088.88","7,292.22","8,006.24","8,006.24","44,505,410,000"
30-Apr-19,"8,132.93","8,164.71","7,448.23","7,453.15","7,453.15","47,405,100,000"
31-Mar-19,"7,800.24","8,176.08","7,777.09","8,095.39","8,095.39","43,162,800,000"
1-Mar-19,"7,587.45","7,850.11","7,332.92","7,729.32","7,729.32","49,145,540,000"
1-Feb-19,"7,256.37","7,602.69","7,225.14","7,532.53","7,532.53","42,304,540,000"
1-Jan-19,"6,506.91","7,303.12","6,457.13","7,281.74","7,281.74","49,199,040,000"
1-Dec-18,"7,486.13","7,486.51","6,190.17","6,635.28","6,635.28","48,808,340,000"
31-Oct-18,"7,327.82","7,572.93","6,830.76","7,330.54","7,330.54","48,560,650,000"
30-Sep-18,"8,091.50","8,107.38","6,922.83","7,305.90","7,305.90","61,400,960,000"
31-Aug-18,"8,087.95","8,104.07","7,873.93","8,046.35","8,046.35","44,545,790,000"
31-Jul-18,"7,701.82","8,133.30","7,659.52","8,109.54","8,109.54","45,900,880,000"
30-Jun-18,"7,451.90","7,933.31","7,443.10","7,671.79","7,671.79","38,678,490,000"
31-May-18,"7,487.66","7,806.60","7,419.56","7,510.30","7,510.30","48,305,960,000"
30-Apr-18,"7,053.65","7,492.42","6,991.14","7,442.12","7,442.12","45,405,220,000"
31-Mar-18,"7,016.17","7,319.58","6,805.96","7,066.27","7,066.27","42,932,190,000"
1-Mar-18,"7,274.75","7,637.27","6,901.07","7,063.45","7,063.45","48,355,130,000"
1-Feb-18,"7,377.17","7,441.09","6,630.67","7,273.01","7,273.01","43,791,970,000"
1-Jan-18,"6,937.65","7,505.77","6,924.08","7,411.48","7,411.48","44,405,890,000"
1-Dec-17,"6,844.04","7,003.89","6,734.13","6,903.39","6,903.39","38,573,170,000"
31-Oct-17,"6,758.64","6,914.19","6,667.31","6,873.97","6,873.97","41,870,380,000"
30-Sep-17,"6,506.08","6,737.75","6,484.14","6,727.67","6,727.67","41,421,370,000"
31-Aug-17,"6,442.17","6,497.98","6,334.59","6,495.96","6,495.96","38,177,120,000"
31-Jul-17,"6,372.16","6,435.27","6,177.19","6,428.66","6,428.66","41,236,800,000"
30-Jun-17,"6,173.29","6,460.84","6,081.96","6,348.12","6,348.12","36,063,120,000"
31-May-17,"6,215.91","6,341.70","6,087.81","6,140.42","6,140.42","48,689,910,000"
30-Apr-17,"6,067.56","6,221.99","5,996.81","6,198.52","6,198.52","42,285,390,000"
31-Mar-17,"5,917.32","6,074.04","5,805.15","6,047.61","6,047.61","33,793,200,000"
1-Mar-17,"5,874.86","5,928.06","5,769.39","5,911.74","5,911.74","43,937,720,000"
1-Feb-17,"5,654.51","5,867.89","5,616.40","5,825.44","5,825.44","36,709,560,000"
1-Jan-17,"5,425.62","5,669.61","5,397.99","5,614.79","5,614.79","36,027,970,000"
1-Dec-16,"5,323.88","5,512.37","5,238.21","5,383.12","5,383.12","38,559,260,000"
31-Oct-16,"5,199.77","5,403.86","5,034.41","5,323.68","5,323.68","41,870,720,000"
30-Sep-16,"5,300.29","5,340.52","5,169.76","5,189.14","5,189.14","34,644,850,000"
31-Aug-16,"5,218.28","5,342.88","5,097.80","5,312.00","5,312.00","40,054,600,000"
31-Jul-16,"5,167.42","5,275.74","5,109.80","5,213.22","5,213.22","38,754,780,000"
30-Jun-16,"4,837.18","5,175.81","4,786.01","5,162.13","5,162.13","36,050,040,000"
31-May-16,"4,928.97","4,980.14","4,574.25","4,842.67","4,842.67","44,213,900,000"
30-Apr-16,"4,786.55","4,951.45","4,678.38","4,948.05","4,948.05","38,803,240,000"
31-Mar-16,"4,842.55","4,969.32","4,740.84","4,775.36","4,775.36","38,014,300,000"
1-Mar-16,"4,596.01","4,899.14","4,581.75","4,869.85","4,869.85","40,738,880,000"
1-Feb-16,"4,587.59","4,636.93","4,209.76","4,557.95","4,557.95","43,108,650,000"
1-Jan-16,"4,897.65","4,926.73","4,313.39","4,613.95","4,613.95","44,877,130,000"
1-Dec-15,"5,129.64","5,176.77","4,871.59","5,007.41","5,007.41","40,617,940,000"
31-Oct-15,"5,065.64","5,163.47","4,908.66","5,108.67","5,108.67","36,834,860,000"
30-Sep-15,"4,624.46","5,095.69","4,552.34","5,053.75","5,053.75","42,348,240,000"
