Date,Close/Last
1/1/2020,0.01
1/1/2019,0.02
1/1/2018,0.02
1/1/2017,0.02
1/1/2016,0.01
1/1/2015,0.00
1/1/2014,0.02
1/1/2013,0.01
1/1/2012,0.02
1/1/2011,0.03
1/1/2010,0.02
1/1/2009,0.00
1/1/2008,0.04
1/1/2007,0.03
1/1/2006,0.03
1/1/2005,0.03
1/1/2004,0.03
1/1/2003,0.02
1/1/2002,0.02
1/1/2001,0.03
1/1/2000,0.03
1/1/1999,0.02
1/1/1998,0.02
1/1/1997,0.02
1/1/1996,0.03
1/1/1995,0.03
1/1/1994,0.03
1/1/1993,0.03
1/1/1992,0.03
1/1/1991,0.04
1/1/1990,0.05
1/1/1989,0.05
1/1/1988,0.04
1/1/1987,0.04
1/1/1986,0.02
1/1/1985,0.04
1/1/1984,0.04
1/1/1983,0.03
1/1/1982,0.06
1/1/1981,0.10
1/1/1980,0.14
1/1/1979,0.11
1/1/1978,0.08
1/1/1977,0.07
1/1/1976,0.06
1/1/1975,0.09
1/1/1974,0.11
1/1/1973,0.06
1/1/1972,0.03
1/1/1971,0.04
1/1/1970,0.06
1/1/1969,0.05
1/1/1968,0.04
1/1/1967,0.03
1/1/1966,0.03
1/1/1965,0.02
1/1/1964,0.01
1/1/1963,0.01
1/1/1962,0.01
1/1/1961,0.01
1/1/1960,0.01
